区域,标题,总价,单价,位置,信息 
成都,鹃城园三期 3室1厅 西南, 70.6万,"6,655元/平",鹃城园三期    -  郫县城区 ,3室1厅 | 106.1平米 | 西南 | 简装 | 中楼层(共6层)  | 板楼
成都,西财学府憬城 3室1厅 东南, 109.9万,"12,681元/平",西财学府憬城    -  温江大学城 ,3室1厅 | 86.67平米 | 东南 | 精装 | 中楼层(共26层) | 2014年建 | 塔楼
成都,一椽坊 3室2厅 东南, 135.8万,"11,500元/平",一椽坊    -  外双楠 ,3室2厅 | 118.09平米 | 东南 | 精装 | 低楼层(共7层) | 2003年建 | 板楼
成都,锦江城市花园三期 3室2厅 东南, 169万,"20,608元/平",锦江城市花园三期    -  三圣乡 ,3室2厅 | 82.01平米 | 东南 | 精装 | 高楼层(共34层) | 2011年建 | 板塔结合
成都,中冶中央公园 3室1厅 南, 100万,"11,301元/平",中冶中央公园    -  郫县城区 ,3室1厅 | 88.49平米 | 南 | 精装 | 高楼层(共32层) | 2017年建 | 板塔结合
成都,一椽坊 3室2厅 东南, 135.8万,"11,500元/平",一椽坊    -  外双楠 ,3室2厅 | 118.09平米 | 东南 | 精装 | 低楼层(共7层) | 2003年建 | 板楼
成都,棠湖泊林镇 3室2厅 东北, 136万,"13,446元/平",棠湖泊林镇    -  双流城区 ,3室2厅 | 101.15平米 | 东北 | 简装 | 中楼层(共6层) | 2011年建 | 板楼
成都,澳龙名城 3室2厅 东南, ,"参考价:24,520元/平",澳龙名城    -  攀成钢 ,3室2厅 | 104平米 | 东南 | 精装 | 中楼层(共16层) | 2009年建 | 板楼
成都,国际花园 2室1厅 西北, 142万,"17,263元/平",国际花园    -  衣冠庙 ,2室1厅 | 82.26平米 | 西北 | 简装 | 中楼层(共15层) | 2005年建 | 板塔结合
成都,竹林尚书 3室2厅 南 北, 150万,"15,616元/平",竹林尚书    -  十陵 ,3室2厅 | 96.06平米 | 南 北 | 简装 | 中楼层(共33层) | 2013年建 | 板塔结合
成都,博园世家 5室2厅 东南, 82万,"5,787元/平",博园世家    -  郫县万达 ,5室2厅 | 141.7平米 | 东南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼
成都,丰瑞玺悦城 2室2厅 南, 102万,"12,915元/平",丰瑞玺悦城    -  大丰 ,2室2厅 | 78.98平米 | 南 | 精装 | 中楼层(共16层) | 2015年建 | 板塔结合
成都,昊园江南壹品 3室2厅 南, 110万,"13,316元/平",昊园江南壹品    -  十陵 ,3室2厅 | 82.61平米 | 南 | 毛坯 | 中楼层(共29层) | 2015年建 | 板楼
成都,新鸿苑 3室2厅 西, 142万,"11,768元/平",新鸿苑    -  猛追湾 ,3室2厅 | 120.67平米 | 西 | 简装 | 低楼层(共7层) | 2001年建 | 板塔结合
成都,天紫界 2室1厅 东南, 135万,"19,671元/平",天紫界    -  九眼桥 ,2室1厅 | 68.63平米 | 东南 | 精装 | 中楼层(共55层) | 2011年建 | 塔楼
成都,川航佳园 3室2厅 东南, 158万,"16,123元/平",川航佳园    -  高升桥 ,3室2厅 | 98平米 | 东南 | 简装 | 7层 | 1999年建 | 板塔结合
成都,郭家桥正街3号 3室1厅 南, 98万,"14,203元/平",郭家桥正街3号    -  川大 ,3室1厅 | 69平米 | 南 | 简装 | 低楼层(共5层) | 2000年建 | 板楼
成都,劲力蓝色理想 2室1厅 东南, 86万,"10,040元/平",劲力蓝色理想    -  航天 ,2室1厅 | 85.66平米 | 东南 | 简装 | 低楼层(共26层) | 2006年建 | 板塔结合
成都,香槟城 3室2厅 南, 126万,"16,895元/平",香槟城    -  十陵 ,3室2厅 | 74.58平米 | 南 | 精装 | 高楼层(共32层) | 2016年建 | 板塔结合
成都,化成寺街1号 2室1厅 东南, 61万,"12,068元/平",化成寺街1号    -  莲花 ,2室1厅 | 50.55平米 | 东南 | 简装 | 中楼层(共6层) | 1995年建 | 暂无数据
成都,万锦城 3室1厅 东 东南 南 西南, 151.6万,"16,171元/平",万锦城    -  华府 ,3室1厅 | 93.75平米 | 东 东南 南 西南 | 毛坯 | 低楼层(共34层) | 2016年建 | 板塔结合
成都,长城宜苑 2室1厅 东北, 103万,"13,233元/平",长城宜苑    -  丽都 ,2室1厅 | 77.84平米 | 东北 | 简装 | 低楼层(共11层) | 2000年建 | 塔楼
成都,合能珍宝琥珀 2室1厅 北, ,"参考价:12,205元/平",合能珍宝琥珀    -  光华大道沿线 ,2室1厅 | 67.69平米 | 北 | 精装 | 高楼层(共34层) | 2014年建 | 板塔结合
成都,双楠所有阳光 1室1厅 南, 66万,"12,503元/平",双楠所有阳光    -  外双楠 ,1室1厅 | 52.79平米 | 南 | 精装 | 11层 | 2003年建 | 板楼
成都,蓝润V客东都一期 2室1厅 东北, 61万,"11,222元/平",蓝润V客东都一期    -  三圣乡 ,2室1厅 | 54.36平米 | 东北 | 精装 | 低楼层(共35层) | 2017年建 | 板塔结合
成都,中铁西郡英华二期 2室1厅 东南, 83万,"11,411元/平",中铁西郡英华二期    -  红光 ,2室1厅 | 72.74平米 | 东南 | 精装 | 中楼层(共31层) | 2013年建 | 板塔结合
成都,凤凰1号•栖云湖 2室2厅 东北, ,"参考价:7,657元/平",凤凰1号•栖云湖    -  青白江 ,2室2厅 | 72.6平米 | 东北 | 精装 | 高楼层(共22层)  | 板楼
成都,培风小区200号 1室1厅 北, 48万,"11,236元/平",培风小区200号    -  万家湾 ,1室1厅 | 42.72平米 | 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼
成都,爱家馨城 2室1厅 西南, ,"参考价:14,013元/平",爱家馨城    -  红牌楼 ,2室1厅 | 71.2平米 | 西南 | 简装 | 中楼层(共11层) | 2004年建 | 板塔结合
成都,花语岸 2室1厅 东南, 82万,"10,316元/平",花语岸    -  国色天乡 ,2室1厅 | 79.49平米 | 东南 | 简装 | 高楼层(共16层) | 2015年建 | 板楼
成都,金沙柏林郡 2室1厅 东北, 135万,"19,889元/平",金沙柏林郡    -  外金沙 ,2室1厅 | 67.88平米 | 东北 | 简装 | 中楼层(共25层) | 2013年建 | 板塔结合
成都,万千城 2室2厅 南, 78.8万,"9,535元/平",万千城    -  新都城区 ,2室2厅 | 82.65平米 | 南 | 简装 | 低楼层(共32层) | 2013年建 | 板塔结合
成都,保利紫薇花语 2室2厅 南, ,"参考价:15,905元/平",保利紫薇花语    -  大面 ,2室2厅 | 63.18平米 | 南 | 精装 | 中楼层(共34层) | 2017年建 | 板塔结合
成都,干警宿舍 2室2厅 西南, 99万,"12,617元/平",干警宿舍    -  双楠 ,2室2厅 | 78.47平米 | 西南 | 精装 | 低楼层(共7层) | 2000年建 | 塔楼
成都,堰山和畔4期 2室1厅 西南, 78万,"8,988元/平",堰山和畔4期    -  都江堰 ,2室1厅 | 86.79平米 | 西南 | 精装 | 低楼层(共18层) | 2011年建 | 塔楼
成都,天府欧城 2室2厅 东南, ,"参考价:8,062元/平",天府欧城    -  青白江 ,2室2厅 | 64.9平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼
成都,蓝光COCO蜜城 2室1厅 东, ,"参考价:22,146元/平",蓝光COCO蜜城    -  贝森 ,2室1厅 | 65.16平米 | 东 | 精装 | 高楼层(共31层) | 2014年建 | 塔楼
成都,格林楠 2室1厅 东南, ,"参考价:17,631元/平",格林楠    -  五大花园 ,2室1厅 | 72.58平米 | 东南 | 精装 | 中楼层(共14层) | 2012年建 | 板楼
成都,干警宿舍 2室2厅 西南, 99万,"12,617元/平",干警宿舍    -  双楠 ,2室2厅 | 78.47平米 | 西南 | 精装 | 低楼层(共7层) | 2000年建 | 塔楼
成都,光华揽胜 2室2厅 南, ,"参考价:26,019元/平",光华揽胜    -  光华泡小 ,2室2厅 | 55.22平米 | 南 | 精装 | 中楼层(共34层) | 2010年建 | 塔楼
成都,国嘉新视界 2室1厅 东南, 115万,"19,719元/平",国嘉新视界    -  九眼桥 ,2室1厅 | 58.32平米 | 东南 | 简装 | 高楼层(共32层) | 2009年建 | 塔楼
成都,新鸿社区 1室1厅 南 北, 42万,"11,571元/平",新鸿社区    -  新华公园 ,1室1厅 | 36.3平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼
成都,中铁西郡英华二期 2室1厅 东南, 83万,"11,064元/平",中铁西郡英华二期    -  红光 ,2室1厅 | 75.02平米 | 东南 | 精装 | 低楼层(共31层) | 2013年建 | 板塔结合
成都,绿地468公馆一期 3室1厅 西南, ,"参考价:23,919元/平",绿地468公馆一期    -  三圣乡 ,3室1厅 | 88.77平米 | 西南 | 简装 | 高楼层(共33层) | 2015年建 | 板塔结合
成都,东林小区 2室2厅 南, 80.5万,"10,904元/平",东林小区    -  动物园 ,2室2厅 | 73.83平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼
成都,七里晓月 2室2厅 南, ,"参考价:17,562元/平",七里晓月    -  簇桥 ,2室2厅 | 88.7平米 | 南 | 精装 | 中楼层(共13层) | 2014年建 | 塔楼
成都,东洪广厦 2室1厅 南, 143.8万,"19,146元/平",东洪广厦    -  三圣乡 ,2室1厅 | 75.11平米 | 南 | 精装 | 中楼层(共32层) | 2013年建 | 板塔结合
成都,荣盛花语城 2室1厅 西, 156万,"24,711元/平",荣盛花语城    -  外光华 ,2室1厅 | 63.13平米 | 西 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼
成都,阳曦芙蓉城 2室2厅 西, ,"参考价:17,912元/平",阳曦芙蓉城    -  茶店子 ,2室2厅 | 83.05平米 | 西 | 精装 | 高楼层(共17层) | 2009年建 | 板楼
成都,红枫岭三期 2室1厅 西南, 162万,"18,168元/平",红枫岭三期    -  东郊记忆 ,2室1厅 | 89.17平米 | 西南 | 精装 | 高楼层(共28层) | 2010年建 | 板塔结合
成都,锦江城市花园三期 2室1厅 东南, 98万,"20,763元/平",锦江城市花园三期    -  三圣乡 ,2室1厅 | 47.2平米 | 东南 | 简装 | 中楼层(共34层) | 2011年建 | 板塔结合
成都,天际首府 2室1厅 东南, 138万,"18,440元/平",天际首府    -  草金立交 ,2室1厅 | 74.84平米 | 东南 | 精装 | 高楼层(共13层) | 2012年建 | 塔楼
成都,盛世草堂 2室1厅 西, 94万,"15,649元/平",盛世草堂    -  草堂 ,2室1厅 | 60.07平米 | 西 | 简装 | 中楼层(共16层) | 2008年建 | 板楼
成都,鑫苑名家一期 2室1厅 东北, 114万,"20,563元/平",鑫苑名家一期    -  卓锦城 ,2室1厅 | 55.44平米 | 东北 | 精装 | 低楼层(共34层) | 2011年建 | 板塔结合
成都,启明花园 2室2厅 东南, 72万,"7,723元/平",启明花园    -  犀浦 ,2室2厅 | 93.24平米 | 东南 | 精装 | 高楼层(共6层) | 2003年建 | 板塔结合
成都,壹号公馆 1室0厅 西南, 54.5万,"12,350元/平",壹号公馆    -  草市街 ,1室0厅 | 44.13平米 | 西南 | 精装 | 中楼层(共29层) | 2008年建 | 塔楼
成都,天府江南B区 2室2厅 东南, 60万,"9,123元/平",天府江南B区    -  保利公园 ,2室2厅 | 65.77平米 | 东南 | 简装 | 低楼层(共11层)  | 塔楼
成都,朝阳时代西锦 2室2厅 南, 115万,"13,465元/平",朝阳时代西锦    -  花都大道 ,2室2厅 | 85.41平米 | 南 | 简装 | 中楼层(共33层) | 2014年建 | 板塔结合
成都,神仙树馨苑 2室1厅 南, 172万,"22,656元/平",神仙树馨苑    -  新北 ,2室1厅 | 75.92平米 | 南 | 精装 | 中楼层(共22层) | 2011年建 | 塔楼
成都,蜀镇·锦丽湾 2室2厅 西北, 91.9万,"11,097元/平",蜀镇·锦丽湾    -  蛟龙港 ,2室2厅 | 82.82平米 | 西北 | 毛坯 | 高楼层(共18层)  | 板塔结合
成都,仙湖公馆 2室1厅 西南, 176万,"20,975元/平",仙湖公馆    -  驷马桥 ,2室1厅 | 83.91平米 | 西南 | 精装 | 低楼层(共18层) | 2015年建 | 塔楼
成都,和贵久居福 2室1厅 西, 122万,"14,190元/平",和贵久居福    -  航空港 ,2室1厅 | 85.98平米 | 西 | 简装 | 中楼层(共18层) | 2008年建 | 板塔结合
成都,紫金乐章 2室1厅 东, 82万,"9,944元/平",紫金乐章    -  金牛万达 ,2室1厅 | 82.47平米 | 东 | 简装 | 中楼层(共21层) | 2011年建 | 板塔结合
成都,锦和康城和贵苑 2室1厅 东南, 96.5万,"15,750元/平",锦和康城和贵苑    -  三圣乡 ,2室1厅 | 61.27平米 | 东南 | 精装 | 低楼层(共34层) | 2019年建 | 板塔结合
成都,御源大湖区 2室1厅 南, ,"参考价:13,940元/平",御源大湖区    -  龙泉驿城区 ,2室1厅 | 83.12平米 | 南 | 简装 | 高楼层(共18层) | 2012年建 | 塔楼
成都,中央花园二期 1室1厅 东南, 41万,"9,809元/平",中央花园二期    -  五大花园 ,1室1厅 | 41.8平米 | 东南 | 简装 | 中楼层(共7层) | 1998年建 | 板塔结合
成都,华林西苑 1室1厅 南, 56万,"11,817元/平",华林西苑    -  理工大 ,1室1厅 | 47.39平米 | 南 | 简装 | 低楼层(共6层) | 2016年建 | 板楼
成都,上锦康城A期 2室1厅 东南, 86万,"10,400元/平",上锦康城A期    -  新都城区 ,2室1厅 | 82.7平米 | 东南 | 简装 | 中楼层(共18层) | 2012年建 | 板塔结合
成都,英伦金沙 2室1厅 西北, 115万,"15,587元/平",英伦金沙    -  外金沙 ,2室1厅 | 73.78平米 | 西北 | 简装 | 高楼层(共24层) | 2011年建 | 板塔结合
成都,中铁西郡英华三期 2室1厅 东南, 79万,"12,069元/平",中铁西郡英华三期    -  红光 ,2室1厅 | 65.46平米 | 东南 | 精装 | 中楼层(共22层) | 2015年建 | 板塔结合
成都,一环路南二段7号 2室1厅 南, 80万,"12,144元/平",一环路南二段7号    -  川音 ,2室1厅 | 65.88平米 | 南 | 简装 | 高楼层(共6层)  | 板楼
成都,燃灯寺东街14号 2室1厅 南, 65万,"10,945元/平",燃灯寺东街14号    -  双楠 ,2室1厅 | 59.39平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼
成都,中铁城锦南汇 2室2厅 东, 198万,"25,645元/平",中铁城锦南汇    -  中德 ,2室2厅 | 77.21平米 | 东 | 精装 | 中楼层(共33层) | 2016年建 | 塔楼
成都,荣盛花语城 1室1厅 东, 98万,"21,668元/平",荣盛花语城    -  外光华 ,1室1厅 | 45.23平米 | 东 | 精装 | 高楼层(共20层) | 2014年建 | 塔楼
成都,蓝光花满庭一期 2室2厅 南, 127万,"16,742元/平",蓝光花满庭一期    -  五块石 ,2室2厅 | 75.86平米 | 南 | 精装 | 高楼层(共21层) | 2011年建 | 板塔结合
成都,紫金乐章 2室1厅 东, 92万,"14,880元/平",紫金乐章    -  金牛万达 ,2室1厅 | 61.83平米 | 东 | 简装 | 高楼层(共18层) | 2011年建 | 塔楼
成都,星河路社区 3室1厅 南, 88万,"10,523元/平",星河路社区    -  西南交大 ,3室1厅 | 83.63平米 | 南 | 简装 | 低楼层(共7层) | 2000年建 | 板塔结合
成都,七里晓月 2室2厅 北, ,"参考价:17,562元/平",七里晓月    -  簇桥 ,2室2厅 | 90.11平米 | 北 | 精装 | 高楼层(共13层) | 2014年建 | 塔楼
成都,竹韵天府 2室1厅 南, 105万,"13,395元/平",竹韵天府    -  武侯立交 ,2室1厅 | 78.39平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 塔楼
成都,蓝光圣菲town城 2室1厅 东南 西, ,"参考价:15,195元/平",蓝光圣菲town城    -  航空港 ,2室1厅 | 70.33平米 | 东南 西 | 简装 | 高楼层(共23层) | 2009年建 | 板塔结合
成都,合能耀之城 2室1厅 东, ,"参考价:18,519元/平",合能耀之城    -  SM广场 ,2室1厅 | 46.63平米 | 东 | 精装 | 高楼层(共27层) | 2010年建 | 板塔结合
成都,师大现代花园 2室2厅 东南, ,"参考价:13,449元/平",师大现代花园    -  大面 ,2室2厅 | 92.16平米 | 东南 | 精装 | 中楼层(共33层) | 2013年建 | 塔楼
成都,置信学府杏林一期 2室2厅 东南 北, 85万,"9,724元/平",置信学府杏林一期    -  芙蓉古城 ,2室2厅 | 87.42平米 | 东南 北 | 简装 | 低楼层(共18层) | 2015年建 | 板塔结合
成都,万科金色家园 2室2厅 东南, 175万,"15,816元/平",万科金色家园    -  李家沱 ,2室2厅 | 110.65平米 | 东南 | 简装 | 中楼层(共12层) | 2005年建 | 板塔结合
成都,华宇阳光水岸 2室1厅 东北, 130万,"18,290元/平",华宇阳光水岸    -  驷马桥 ,2室1厅 | 71.08平米 | 东北 | 简装 | 中楼层(共21层) | 2010年建 | 板塔结合
成都,中冶田园世界 2室2厅 西南, 82万,"11,016元/平",中冶田园世界    -  郫县城区 ,2室2厅 | 74.44平米 | 西南 | 精装 | 中楼层(共30层) | 2013年建 | 板塔结合
成都,星河名居 5室3厅 东 东南, 155万,"9,119元/平",星河名居    -  航天 ,5室3厅 | 169.98平米 | 东 东南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼
成都,泉水南苑 1室1厅 北, 40万,"8,917元/平",泉水南苑    -  五块石 ,1室1厅 | 44.86平米 | 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼
成都,空港十六区 2室2厅 南, 128万,"15,846元/平",空港十六区    -  航空港 ,2室2厅 | 80.78平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 塔楼
成都,首创光和城二期 2室1厅 南, 125万,"19,946元/平",首创光和城二期    -  动物园 ,2室1厅 | 62.67平米 | 南 | 精装 | 高楼层(共33层) | 2016年建 | 塔楼
成都,清江之春 2室1厅 东北, 120万,"13,485元/平",清江之春    -  外金沙 ,2室1厅 | 88.99平米 | 东北 | 简装 | 中楼层(共18层) | 2010年建 | 板楼
成都,西蜀瑞苑 2室1厅 南, 108万,"14,971元/平",西蜀瑞苑    -  茶店子 ,2室1厅 | 72.14平米 | 南 | 精装 | 中楼层(共18层) | 2011年建 | 板楼
成都,博瑞都市花园 2室2厅 东南, ,"参考价:22,519元/平",博瑞都市花园    -  优品道 ,2室2厅 | 86.41平米 | 东南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼
成都,春天大道 2室1厅 东南, ,"参考价:14,775元/平",春天大道    -  光华大道沿线 ,2室1厅 | 91平米 | 东南 | 精装 | 高楼层(共20层) | 2009年建 | 板塔结合
成都,楠香山 2室1厅 西北, 124万,"20,844元/平",楠香山    -  中和 ,2室1厅 | 59.49平米 | 西北 | 精装 | 高楼层(共27层) | 2012年建 | 板塔结合
成都,西财学府阳光 2室1厅 东南, 102万,"12,400元/平",西财学府阳光    -  温江大学城 ,2室1厅 | 82.26平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼
成都,九峰国际 1室1厅 西北, ,"参考价:15,257元/平",九峰国际    -  红牌楼 ,1室1厅 | 40.44平米 | 西北 | 精装 | 低楼层(共24层) | 2010年建 | 板楼
成都,中铁丽景书香 2室1厅 东南, 110.5万,"13,636元/平",中铁丽景书香    -  温江大学城 ,2室1厅 | 81.04平米 | 东南 | 精装 | 中楼层(共33层) | 2016年建 | 板塔结合
成都,御源大湖区 2室1厅 东南, ,"参考价:13,940元/平",御源大湖区    -  龙泉驿城区 ,2室1厅 | 91.52平米 | 东南 | 精装 | 中楼层(共11层) | 2012年建 | 塔楼
成都,新都城市之心 2室1厅 南 北, 84万,"9,878元/平",新都城市之心    -  新都城区 ,2室1厅 | 85.04平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼
成都,诚品上院 2室2厅 北, 135万,"16,775元/平",诚品上院    -  草金立交 ,2室2厅 | 80.48平米 | 北 | 精装 | 中楼层(共18层) | 2008年建 | 板楼
成都,合能橙中心 3室1厅 西南, ,"参考价:12,577元/平",合能橙中心    -  犀浦 ,3室1厅 | 74.86平米 | 西南 | 精装 | 高楼层(共18层) | 2017年建 | 塔楼
成都,和裕印象 3室2厅 东南, 61.8万,"5,943元/平",和裕印象    -  金堂 ,3室2厅 | 104平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据
成都,美洲花园棕榈湾 3室2厅 南, 218万,"21,035元/平",美洲花园棕榈湾    -  新北 ,3室2厅 | 103.64平米 | 南 | 简装 | 高楼层(共23层) | 2016年建 | 板楼
成都,华润国际社区 3室1厅 东, ,"参考价:15,768元/平",华润国际社区    -  大面 ,3室1厅 | 70.36平米 | 东 | 简装 | 高楼层(共39层) | 2016年建 | 板塔结合
成都,龙王渡二期 3室2厅 东南, 69万,"6,159元/平",龙王渡二期    -  新津 ,3室2厅 | 112.04平米 | 东南 | 毛坯 | 14层  | 暂无数据
成都,佳兆业君汇上品 3室1厅 东, ,"参考价:18,519元/平",佳兆业君汇上品    -  南湖 ,3室1厅 | 105.63平米 | 东 | 毛坯 | 低楼层(共33层) | 2013年建 | 板塔结合
成都,佳年华新生活 3室2厅 东北, 120万,"14,766元/平",佳年华新生活    -  花都大道 ,3室2厅 | 81.27平米 | 东北 | 精装 | 低楼层(共34层) | 2016年建 | 板塔结合
成都,长流河小区 3室2厅 东北, 41.5万,"4,366元/平",长流河小区    -  青白江 ,3室2厅 | 95.07平米 | 东北 | 毛坯 | 中楼层(共6层)  | 暂无数据
成都,天慧城 3室2厅 东南, 92万,"10,698元/平",天慧城    -  石桥片区 ,3室2厅 | 86平米 | 东南 | 简装 | 中楼层(共28层)  | 塔楼
成都,昌建星悦城 3室2厅 东南, 90万,"8,479元/平",昌建星悦城    -  彭州 ,3室2厅 | 106.15平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼
成都,恒大名城 3室2厅 东南, 150万,"13,762元/平",恒大名城    -  温江大学城 ,3室2厅 | 109平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合
成都,圣桦城 3室2厅 东北, 80万,"9,753元/平",圣桦城    -  大邑 ,3室2厅 | 82.03平米 | 东北 | 精装 | 高楼层(共32层) | 2018年建 | 塔楼
成都,天立世纪华府 3室1厅 南, 76万,"6,281元/平",天立世纪华府    -  彭州 ,3室1厅 | 121平米 | 南 | 毛坯 | 高楼层(共30层) | 2018年建 | 板塔结合
成都,东润豪庭一期 3室2厅 东南, 130万,"14,266元/平",东润豪庭一期    -  龙潭寺 ,3室2厅 | 91.13平米 | 东南 | 简装 | 高楼层(共17层)  | 塔楼
成都,光华干休所 3室1厅 南, 140万,"18,088元/平",光华干休所    -  草堂 ,3室1厅 | 77.4平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼
成都,昕雅园 3室1厅 东南, 81.8万,"7,791元/平",昕雅园    -  城西片区 ,3室1厅 | 105平米 | 东南 | 毛坯 | 高楼层(共18层) | 2013年建 | 板塔结合
成都,心灵家园 2室1厅 北, 160万,"19,278元/平",心灵家园    -  外光华 ,2室1厅 | 83平米 | 北 | 精装 | 低楼层(共20层) | 2013年建 | 塔楼
成都,置信柳城谊苑 3室2厅 西北, 128万,"9,045元/平",置信柳城谊苑    -  温江老城 ,3室2厅 | 141.53平米 | 西北 | 简装 | 中楼层(共6层)  | 板楼
成都,华熙528艺术村悦都 3室1厅 东南, ,"参考价:22,469元/平",华熙528艺术村悦都    -  三圣乡 ,3室1厅 | 90.02平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合
成都,蜀都花园 3室1厅 东南, 185万,"17,620元/平",蜀都花园    -  水碾河 ,3室1厅 | 105平米 | 东南 | 简装 | 低楼层(共18层) | 2003年建 | 塔楼
成都,富丽东方 2室1厅 西北, ,"参考价:18,103元/平",富丽东方    -  成渝立交 ,2室1厅 | 78.94平米 | 西北 | 精装 | 低楼层(共33层) | 2008年建 | 塔楼
成都,曼哈顿一期 2室1厅 南, 122万,"13,786元/平",曼哈顿一期    -  航空路 ,2室1厅 | 88.5平米 | 南 | 简装 | 中楼层(共15层) | 2003年建 | 塔楼
成都,合能珍宝琥珀 3室2厅 西, ,"参考价:12,205元/平",合能珍宝琥珀    -  光华大道沿线 ,3室2厅 | 82.77平米 | 西 | 简装 | 低楼层(共34层) | 2014年建 | 板塔结合
成都,恒大豪庭 4室2厅 东南, 358万,"23,196元/平",恒大豪庭    -  新华公园 ,4室2厅 | 154.34平米 | 东南 | 精装 | 中楼层(共45层) | 2017年建 | 板塔结合
成都,保利学府城 4室2厅 南 西南, 239万,"19,753元/平",保利学府城    -  国宾 ,4室2厅 | 121平米 | 南 西南 | 毛坯 | 低楼层(共28层) | 2019年建 | 塔楼
成都,果壳里的城 3室1厅 东, ,"参考价:15,956元/平",果壳里的城    -  龙泉驿城区 ,3室1厅 | 88.82平米 | 东 | 精装 | 中楼层(共34层) | 2012年建 | 塔楼
成都,溪地湾 3室2厅 西南, ,"参考价:12,887元/平",溪地湾    -  犀浦 ,3室2厅 | 120.31平米 | 西南 | 精装 | 高楼层(共33层) | 2015年建 | 塔楼
成都,合能珍宝琥珀 3室2厅 西, ,"参考价:12,205元/平",合能珍宝琥珀    -  光华大道沿线 ,3室2厅 | 82.77平米 | 西 | 简装 | 低楼层(共34层) | 2014年建 | 板塔结合
成都,嘉裕第六洲龙泽台 4室1厅 东 东南 南 西南 东北, 139.8万,"6,853元/平",嘉裕第六洲龙泽台    -  崇州 ,4室1厅 | 204平米 | 东 东南 南 西南 东北 | 精装 | 低楼层(共7层) | 2018年建 | 板塔结合
成都,华都云景台 3室2厅 东南, ,"参考价:19,644元/平",华都云景台    -  万年场 ,3室2厅 | 83.47平米 | 东南 | 精装 | 高楼层(共42层) | 2018年建 | 塔楼
成都,滨江和城 3室1厅 东南, ,"参考价:19,426元/平",滨江和城    -  麓山 ,3室1厅 | 81.34平米 | 东南 | 精装 | 低楼层(共34层) | 2016年建 | 板塔结合
成都,格澜威尔 3室2厅 西南, 91万,"10,706元/平",格澜威尔    -  温江大学城 ,3室2厅 | 85平米 | 西南 | 毛坯 | 高楼层(共18层) | 2013年建 | 板塔结合
成都,吉宝凌云峰阁 3室2厅 南 北, ,"参考价:32,300元/平",吉宝凌云峰阁    -  攀成钢 ,3室2厅 | 135.35平米 | 南 北 | 精装 | 中楼层(共30层) | 2015年建 | 板楼
成都,西郡兰庭 3室2厅 西南, 116万,"9,351元/平",西郡兰庭    -  犀浦 ,3室2厅 | 124.06平米 | 西南 | 精装 | 低楼层(共17层) | 2010年建 | 板塔结合
成都,丽日樱花 3室1厅 东南, 77万,"6,522元/平",丽日樱花    -  温江老城 ,3室1厅 | 118.07平米 | 东南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼
成都,华润二十四城二期 3室2厅 东 西, ,"参考价:26,095元/平",华润二十四城二期    -  万象城 ,3室2厅 | 80.97平米 | 东 西 | 精装 | 中楼层(共32层) | 2010年建 | 板塔结合
成都,幸福时光 2室2厅 北, 77万,"10,491元/平",幸福时光    -  丽都 ,2室2厅 | 73.4平米 | 北 | 精装 | 中楼层(共12层) | 2003年建 | 板楼
成都,西花汀 3室2厅 南 北 西, 156万,"13,243元/平",西花汀    -  珠江新城 ,3室2厅 | 117.8平米 | 南 北 西 | 毛坯 | 低楼层(共11层) | 2008年建 | 板塔结合
成都,西安路一段51号 3室1厅 西, 58万,"7,892元/平",西安路一段51号    -  东升镇 ,3室1厅 | 73.5平米 | 西 | 简装 | 低楼层(共6层)  | 板楼
成都,中信未来城南区 3室2厅 东南, 115万,"12,680元/平",中信未来城南区    -  郫县城区 ,3室2厅 | 90.7平米 | 东南 | 简装 | 低楼层(共33层) | 2013年建 | 塔楼
成都,蓝润蓝客城 3室2厅 东南, 128万,"16,340元/平",蓝润蓝客城    -  动物园 ,3室2厅 | 78.34平米 | 东南 | 简装 | 高楼层(共24层) | 2017年建 | 塔楼
成都,祥和苑西区 3室1厅 东南, 90万,"9,261元/平",祥和苑西区    -  八里小区 ,3室1厅 | 97.19平米 | 东南 | 简装 | 中楼层(共7层) | 1999年建 | 板楼
